cliente,idade,sexo,estado_civil,grau_escolaridade,dependentes,trabalha,salario_ano,casa_propria,valor_imovel,seguro_residencia,carro,seguro_auto,cartao,seguro_cartao,poupanca,renda_fixa,credito_pessoal,scode_credito,grupo
708219858,39,0,1,2,0,1,64110.0,0,0,0,1,1,1,1,0,2,2,412.2,1
708222558,37,1,2,1,2,1,20770.0,0,0,0,1,0,1,0,0,0,0,474.0,0
708223383,47,1,2,3,3,0,0.0,0,0,0,0,0,1,0,3,2,2,405.6,0
708224133,61,0,1,4,0,1,75020.0,1,443000,1,0,0,1,1,1,3,1,486.9,4
708225483,47,0,2,2,4,1,130860.0,1,425000,1,0,0,1,1,0,2,0,567.0,4
708226833,53,0,2,3,1,1,222990.0,1,1325000,1,2,0,3,0,0,1,1,938.0,4
708229308,49,1,2,2,2,1,73580.0,0,0,0,1,0,1,1,3,1,1,511.0,1
708231183,30,0,3,4,1,0,0.0,0,0,0,0,0,1,0,2,2,2,393.6,2
708234558,55,1,3,1,2,1,24070.0,0,0,0,1,0,1,1,2,0,1,472.0,1
708238833,57,1,2,3,3,1,18830.0,0,0,0,1,0,1,0,0,0,2,326.0,0
708241233,52,1,1,1,0,1,17530.0,0,0,0,1,1,1,1,2,2,1,352.8,3
708242283,29,0,1,1,0,1,85360.0,0,0,0,1,0,1,1,0,0,2,461.7,1
708243483,53,0,2,1,3,1,197290.0,0,0,0,0,0,1,1,0,0,0,548.0,1
708244458,47,1,2,1,2,1,21180.0,1,349000,0,1,0,1,1,2,2,1,475.0,3
708245808,35,0,2,2,3,1,107830.0,0,0,0,0,0,1,0,1,2,0,807.0,2
708248358,42,0,0,2,4,1,114880.0,1,1486000,0,0,0,2,0,2,3,0,807.0,2
708249708,48,1,2,1,1,1,18110.0,1,299000,1,1,1,1,0,0,0,2,441.0,4
708252108,64,0,1,1,0,1,76210.0,0,0,0,1,1,1,1,0,3,3,545.4,1
708253458,59,1,1,4,0,1,144910.0,0,0,0,0,0,1,1,3,1,3,529.2,1
708254733,41,1,1,1,1,1,22940.0,0,0,0,1,0,1,0,3,2,0,514.8,0
708255633,36,0,1,2,0,1,117350.0,0,0,0,0,0,1,0,3,2,0,366.3,2
708260208,43,1,1,4,2,1,21830.0,0,0,0,1,0,1,1,2,1,3,450.9,1
708266883,34,1,1,2,0,1,17350.0,1,231000,1,0,0,1,1,2,0,3,308.7,4
708267858,65,1,2,3,0,1,73720.0,0,0,0,1,0,1,1,1,2,0,405.0,1
708269583,42,1,3,4,3,1,21240.0,0,0,0,0,0,1,0,0,0,2,463.0,0
708271833,42,0,1,2,0,1,64650.00000000001,0,0,0,0,0,2,0,2,2,0,474.3,2
708272808,45,0,1,2,2,1,20320.0,0,0,0,0,0,1,0,2,0,0,346.5,2
708273858,40,0,3,2,3,1,183990.0,1,373000,1,1,1,1,1,1,2,3,621.0,4
708276183,52,1,2,1,3,1,18690.0,1,155000,1,2,0,1,1,2,3,2,434.0,4
708281433,57,1,2,2,2,1,23080.0,0,0,0,0,0,1,1,2,3,3,409.0,1
708285108,42,0,1,2,1,1,80670.0,1,1351000,0,0,0,1,1,0,2,3,618.3,1
708286683,57,0,1,4,0,1,140740.0,0,0,0,1,1,1,0,1,3,0,560.7,2
708288108,43,0,0,5,4,1,119930.0,1,215000,1,2,0,1,1,2,2,1,399.0,4
708290208,43,1,2,3,3,1,20230.0,1,312000,0,0,0,2,0,0,1,1,570.0,0
708291633,33,1,0,5,2,1,92480.0,1,510000,0,1,1,1,0,0,0,2,472.0,3
708292833,35,0,1,3,0,1,174430.0,0,0,0,0,0,1,0,0,2,3,525.6,2
708295533,65,1,2,1,0,1,19720.0,0,0,0,1,1,1,1,1,0,3,446.0,3
708296883,44,1,1,2,0,1,62040.0,0,0,0,0,0,1,0,1,3,1,257.4,0
708298233,49,1,2,2,3,1,18510.0,0,0,0,1,1,1,0,2,1,1,360.0,0
708300483,66,1,2,5,0,1,108150.0,0,0,0,2,0,1,1,0,0,0,522.0,1
708301683,40,0,2,4,2,1,131440.0,0,0,0,1,0,1,0,2,0,2,664.0,2
708303108,50,1,2,2,2,1,24110.0,0,0,0,1,1,1,1,3,1,2,547.0,3
708307533,42,0,2,4,2,1,95180.0,1,413000,1,1,1,1,1,2,0,2,452.0,4
708313608,53,0,2,1,3,1,130520.0,0,0,0,1,1,1,0,2,0,1,389.0,2
708314808,53,1,2,1,2,0,0.0,0,0,0,0,0,1,1,0,0,2,279.2,3
708316008,59,1,1,2,0,0,0.0,0,0,0,0,0,1,0,3,0,1,270.0,0
708319908,37,0,1,2,0,1,125580.0,1,867000,0,0,0,1,1,0,0,0,338.4,1
708323208,49,1,2,4,3,1,19280.0,0,0,0,0,0,1,0,2,1,0,361.0,0
708324483,47,1,1,1,1,1,22680.0,0,0,0,1,0,1,1,1,1,0,490.5,1
708330858,57,0,2,2,3,1,196310.0,1,218000,0,1,1,1,1,0,0,1,361.0,3
708331758,47,1,3,4,2,0,0.0,1,373000,0,0,0,2,0,3,1,0,481.6,0
708332808,47,0,2,4,2,1,85830.0,1,1438000,0,1,1,1,0,2,3,2,737.0,2
708334158,46,1,3,2,3,1,20380.0,0,0,0,0,0,1,0,0,3,0,471.0,0
708337683,51,0,1,4,0,1,101330.0,0,0,0,0,0,1,0,3,2,1,514.8,2
708338958,58,1,1,2,0,1,23000.0,0,0,0,0,0,1,1,2,2,3,343.8,1
708340758,41,0,2,3,4,1,27070.0,1,811000,0,1,1,1,0,3,2,0,602.0,2
708341958,31,1,3,1,1,1,20140.0,1,448000,0,1,0,1,0,1,1,1,411.0,0
708344358,53,1,2,3,3,0,0.0,0,0,0,0,0,1,1,3,3,3,261.6,3
708347583,37,1,2,4,4,1,17020.0,0,0,0,0,0,1,1,3,2,2,321.0,1
708354858,51,0,1,5,0,1,207030.0,1,819000,1,1,0,1,1,3,2,3,695.52,4
708355683,46,1,2,2,4,0,0.0,1,298000,1,1,0,1,1,0,0,1,429.6,4
708357183,47,1,1,1,0,1,21060.0,0,0,0,0,0,1,1,1,1,0,393.3,1
708358683,46,0,2,2,2,1,126250.0,0,0,0,1,0,2,0,0,0,1,589.0,2
708360108,50,0,1,1,0,1,70100.0,0,0,0,0,0,1,0,2,3,1,414.9,2
708361833,44,0,2,2,4,1,127560.0,1,365000,1,1,1,1,0,2,1,2,590.0,4
708367908,56,1,2,4,1,1,24020.0,0,0,0,0,0,1,0,0,1,2,491.0,0
708369633,34,1,2,2,3,1,24730.0,0,0,0,1,0,3,0,3,0,2,622.0,0
708371733,41,1,2,3,3,1,22180.0,1,493000,1,0,0,1,0,1,0,3,328.0,4
708373083,40,1,2,1,4,1,62350.0,1,203000,0,0,0,1,1,1,3,2,388.0,3
708375858,47,1,3,3,4,1,22620.0,0,0,0,2,0,1,1,3,2,0,536.0,1
708376983,58,1,1,1,0,0,0.0,0,0,0,0,0,1,0,1,0,0,323.28,0
708378108,39,1,2,5,1,1,66490.0,0,0,0,1,1,1,1,1,2,2,507.0,3
708382083,49,0,2,3,5,1,127800.0,0,0,0,1,1,1,1,1,3,0,386.0,1
708384033,45,1,2,4,3,1,19180.0,1,247000,1,1,0,1,0,1,3,0,401.0,4
708385533,49,1,2,2,1,1,31700.0,1,952000,0,1,1,2,0,1,0,1,682.0,3
708386958,47,1,2,1,3,1,18520.0,1,195000,1,1,0,1,1,3,2,3,336.0,4
708387933,49,1,2,1,2,1,39570.0,1,1436000,1,0,0,1,0,0,0,2,690.0,4
708390633,52,1,2,2,3,1,23470.0,0,0,0,2,0,1,0,1,1,2,645.0,0
708393633,41,1,2,3,0,1,22120.0,0,0,0,0,0,1,0,3,0,3,515.0,0
708394908,44,0,1,3,0,1,65430.00000000001,0,0,0,0,0,1,0,3,0,1,340.2,2
708396033,45,1,2,4,2,1,34910.0,1,1226000,0,1,0,1,0,0,1,2,606.0,0
708397008,54,1,2,2,4,0,0.0,1,433000,0,1,1,1,1,3,3,1,404.0,3
708398283,37,1,2,2,1,1,59470.0,0,0,0,1,0,1,0,0,1,3,285.0,0
708399858,45,1,2,3,3,1,22770.0,1,475000,1,1,0,1,1,2,1,1,440.0,4
708402333,48,1,3,5,2,1,102410.0,0,0,0,1,1,1,0,3,0,0,472.0,0
708403308,37,0,1,1,0,1,63160.0,0,0,0,0,0,2,0,1,2,0,385.2,2
708404883,45,1,1,3,0,0,0.0,0,0,0,0,0,1,0,3,1,0,435.6,0
708406083,35,1,2,1,0,1,21930.0,0,0,0,1,1,1,0,1,2,2,469.0,0
708412758,33,1,1,2,0,1,17090.0,0,0,0,0,0,1,0,1,3,0,324.9,0
708414033,50,0,2,2,4,1,68900.0,0,0,0,1,1,1,0,2,2,0,504.0,2
708416433,41,1,1,3,0,1,18610.0,0,0,0,1,0,1,0,3,2,3,351.0,0
708419733,47,0,1,1,0,1,100480.0,0,0,0,1,0,1,0,1,2,0,558.0,2
708421833,45,1,1,2,1,1,16990.0,0,0,0,1,0,1,1,1,3,3,314.1,1
708423933,51,0,1,5,0,1,67680.0,0,0,0,0,0,1,1,3,2,2,374.4,1
708426483,56,1,1,2,0,1,22750.0,0,0,0,1,0,1,1,2,0,2,565.2,1
708427908,52,1,0,1,4,1,23900.0,0,0,0,1,1,1,1,0,3,0,527.0,3
708428958,39,0,1,4,0,1,133160.0,1,918000,1,1,1,3,0,3,0,1,742.5,4
708431433,41,0,2,2,3,1,177870.0,1,296000,1,1,1,1,1,2,3,3,386.0,4
708433683,54,0,2,2,2,1,136630.0,1,441000,1,1,0,1,0,2,0,1,511.0,4
708434733,56,0,2,2,1,1,100020.0,0,0,0,1,0,1,0,2,2,0,468.0,2
708438033,36,1,2,1,2,1,18200.0,1,262000,1,0,0,1,0,0,3,0,400.0,4
708442158,51,1,2,1,1,0,0.0,1,380000,1,0,0,1,1,0,0,3,391.2,4
708445608,48,0,2,1,3,1,18600.0,0,0,0,1,0,1,0,2,3,0,449.0,2
708446808,33,0,2,5,1,1,113450.0,0,0,0,1,0,1,0,0,1,0,400.0,2
708447858,59,1,2,4,2,1,43870.0,0,0,0,1,0,1,1,1,1,0,775.0,1
708450033,43,1,0,3,3,1,23060.0,0,0,0,1,1,1,0,1,3,0,332.0,0
708451233,46,1,0,2,3,1,21520.0,0,0,0,0,0,1,0,3,1,0,542.0,0
708453408,40,0,3,1,4,1,123050.0,0,0,0,1,1,1,0,3,0,3,498.0,2
708455883,57,0,1,2,0,1,131850.0,1,263000,0,1,1,1,0,0,3,1,351.9,2
708459633,38,0,2,3,2,1,87380.0,0,0,0,0,0,1,1,2,1,1,278.0,1
708462258,51,1,2,3,1,1,43760.0,1,1656000,0,0,0,1,1,2,0,0,696.0,3
708469533,42,1,2,4,3,1,127070.0,0,0,0,1,0,1,1,0,2,2,504.0,1
708472008,44,1,2,4,3,1,27590.0,1,763000,1,1,1,1,1,1,3,0,654.0,4
708473133,55,1,2,2,1,1,24240.0,0,0,0,1,0,1,1,3,2,2,509.0,1
708474333,42,0,2,2,3,1,102230.0,1,791000,1,1,1,1,1,2,2,1,602.0,4
708476808,54,0,3,5,4,1,197330.0,0,0,0,1,0,1,1,3,1,1,585.9,1
708478233,48,1,2,2,3,1,70360.0,0,0,0,1,1,1,1,0,0,1,510.0,3
708480333,65,0,1,1,0,1,72140.0,0,0,0,0,0,1,1,2,2,1,352.8,1
708482658,41,0,2,2,3,1,144910.0,1,1559000,0,1,0,1,1,1,2,2,751.0,1
708483708,51,0,2,5,2,1,200740.0,0,0,0,1,1,1,1,2,1,3,691.95,1
708486033,55,1,2,5,3,1,102190.0,1,178000,0,1,0,1,1,1,1,0,462.0,3
708488208,57,1,2,4,3,1,20580.0,0,0,0,1,1,1,1,2,2,0,508.0,3
708489258,40,1,2,2,3,1,20220.0,0,0,0,1,0,1,0,3,2,2,440.0,0
708491508,51,0,1,3,0,1,101550.0,0,0,0,1,0,1,1,1,3,3,531.9,1
708492558,42,0,2,1,3,1,90470.0,0,0,0,1,0,1,0,2,2,1,426.0,2
708494583,49,1,3,4,3,1,21620.0,0,0,0,0,0,1,1,2,1,0,362.0,1
708496833,60,0,1,3,0,1,32460.0,0,0,0,1,0,1,1,0,1,2,693.0,1
708498033,44,1,2,2,3,1,66290.0,1,279000,0,2,0,1,0,1,3,1,547.0,0
708499608,49,0,1,5,2,1,68560.0,0,0,0,0,0,2,0,3,3,1,448.2,2
708500883,48,0,1,4,0,1,76460.0,1,838000,1,1,1,2,0,2,1,2,678.6,4
708501783,43,0,2,3,2,1,184570.0,0,0,0,0,0,1,0,2,3,2,591.0,2
708502908,61,0,1,3,0,1,109570.0,0,0,0,0,0,2,0,3,1,2,646.2,2
708504783,47,0,0,4,3,1,67340.0,1,348000,0,1,1,1,0,1,3,2,535.0,2
708506508,54,0,2,3,3,1,203670.0,0,0,0,1,1,1,0,0,1,1,590.0,2
708507483,43,1,3,1,3,1,22800.0,0,0,0,2,0,1,1,2,1,0,558.0,1
708508758,62,1,2,2,0,1,18350.0,1,219000,0,1,0,1,1,3,3,2,388.0,3
708510858,60,1,1,4,0,1,44630.0,1,1548000,0,1,0,1,0,2,1,3,732.6,0
708511983,37,0,2,2,3,1,119610.0,0,0,0,1,1,1,1,1,2,0,400.0,1
708513183,39,0,2,4,1,1,62060.0,0,0,0,1,0,1,1,1,3,0,365.0,1
708514383,38,1,2,1,2,0,0.0,1,431000,0,0,0,1,1,1,0,1,280.0,3
708515358,40,1,2,3,1,1,21380.0,0,0,0,1,0,1,1,1,1,2,531.0,1
708516558,37,1,2,3,2,1,20670.0,1,416000,0,1,0,1,1,3,3,3,449.0,3
708519108,46,1,2,2,1,0,0.0,1,204000,1,1,1,1,0,1,0,2,281.6,4
708522033,50,0,2,1,2,1,120700.0,1,1506000,0,1,1,1,1,3,2,2,720.0,3
708525108,54,1,2,2,2,0,0.0,0,0,0,1,0,1,0,0,3,1,467.2,0
708528483,43,1,3,2,4,0,0.0,0,0,0,1,0,1,1,3,3,0,232.8,3
708532308,37,0,1,4,0,1,90040.0,0,0,0,0,0,1,1,1,1,1,432.0,1
708534033,45,1,1,2,0,1,69140.0,0,0,0,0,0,1,0,1,3,0,452.7,0
708535158,39,0,0,5,2,1,129650.0,1,851000,0,0,0,1,0,3,3,1,539.0,2
708536283,35,0,1,5,0,1,114740.0,0,0,0,0,0,1,1,1,2,1,282.6,1
708538608,50,1,2,1,4,0,0.0,0,0,0,2,0,1,0,0,1,1,470.4,0
708539583,44,1,2,1,3,0,0.0,0,0,0,0,0,1,0,0,2,1,358.4,0
708542283,58,1,2,1,1,1,24590.0,0,0,0,0,0,1,0,3,3,3,595.0,0
708543258,36,0,2,3,3,1,115810.0,0,0,0,1,0,1,1,2,2,3,379.0,1
708545058,45,1,1,2,0,1,70310.0,0,0,0,1,1,1,0,2,3,1,531.9,0
708549033,50,1,2,3,1,1,23910.0,0,0,0,0,0,1,1,0,3,0,401.0,1
708551508,51,1,1,1,0,1,24250.0,0,0,0,1,1,1,0,1,3,1,522.0,0
708553008,38,1,1,3,0,1,65500.0,1,471000,0,0,0,1,1,3,3,2,407.7,3
708555633,32,1,1,3,0,1,35770.0,1,1516000,1,1,0,1,0,2,1,1,558.9,4
708557358,43,0,2,1,2,1,92720.0,0,0,0,1,1,1,1,3,2,3,473.0,1
708558408,50,0,1,3,0,1,68930.0,0,0,0,1,0,1,0,2,0,0,497.7,2
708559533,40,0,2,4,1,1,124330.0,0,0,0,1,0,1,0,2,0,2,517.0,2
708560733,42,1,3,2,3,1,22400.0,0,0,0,1,0,1,1,2,0,2,512.0,1
708563433,65,1,1,3,0,0,0.0,0,0,0,1,0,1,1,3,2,0,470.88,3
708564858,33,0,2,1,2,1,183360.0,1,934000,1,0,0,3,0,3,3,0,659.0,4
708568983,40,0,2,3,3,1,101560.0,1,811000,1,1,1,1,0,2,3,2,651.0,4
708572658,49,0,2,2,5,1,121180.0,1,1504000,0,0,0,2,0,0,0,3,838.0,2
708573933,45,1,1,2,0,1,86570.0,1,1475000,1,0,0,2,0,3,1,2,691.2,4
708575058,46,1,3,4,3,1,67480.0,1,330000,0,1,0,1,1,3,3,1,465.0,3
708577308,43,1,3,1,1,1,17460.0,0,0,0,1,1,1,1,2,0,3,345.0,3
708579633,40,0,3,1,4,1,60360.0,0,0,0,1,0,3,0,3,2,3,409.0,2
708580908,56,0,2,3,3,1,100190.0,1,287000,1,1,0,1,0,2,2,2,465.0,4
708582858,38,0,1,2,0,1,91070.0,0,0,0,1,0,1,1,1,2,0,481.5,1
708584208,36,1,0,2,2,1,17820.0,0,0,0,0,0,1,0,2,2,3,385.0,0
708585933,44,1,1,3,1,1,21830.0,0,0,0,0,0,1,0,2,3,0,423.9,0
708588408,53,0,1,4,0,1,102850.0,0,0,0,0,0,1,1,3,2,2,434.7,1
708590658,65,1,2,4,1,1,145110.0,0,0,0,1,1,1,1,1,0,3,564.0,3
708593883,39,0,2,1,2,1,88270.0,1,181000,0,0,0,1,0,3,0,3,273.0,2
708595158,27,1,1,2,0,1,16480.0,0,0,0,0,0,1,1,3,1,3,270.0,1
708596283,35,1,1,4,0,1,18250.0,0,0,0,0,0,1,0,3,1,0,315.9,0
708597558,42,0,1,3,0,1,95330.0,0,0,0,1,1,1,1,0,3,0,497.7,1
708600033,46,0,2,2,2,1,69130.0,0,0,0,1,0,1,1,3,1,3,532.0,1
708602283,40,1,2,4,4,0,0.0,1,394000,1,1,0,1,0,0,2,0,394.4,4
708606633,56,1,2,2,3,1,69640.0,0,0,0,0,0,1,1,3,3,1,445.0,1
708611733,42,1,2,1,1,0,0.0,0,0,0,2,0,1,1,3,0,0,463.2,3
708614058,56,1,3,2,2,1,23210.0,0,0,0,0,0,1,0,1,0,3,516.0,0
708615183,44,0,2,3,2,1,98770.0,0,0,0,2,0,1,1,2,3,0,624.0,1
708618933,34,0,1,4,0,1,170890.0,0,0,0,1,1,1,0,2,3,0,346.698,2
708620283,35,0,1,1,0,1,86910.0,0,0,0,1,1,1,1,1,1,0,348.3,1
708621408,39,1,1,1,0,1,20810.0,0,0,0,0,0,1,1,3,0,0,353.7,1
708623283,35,0,1,4,0,1,86990.0,0,0,0,1,0,1,1,2,3,2,378.9,1
708626058,49,1,2,4,2,1,22460.0,0,0,0,0,0,1,1,1,1,0,481.0,1
708633783,43,0,1,4,0,1,121110.0,0,0,0,0,0,1,0,0,1,1,352.8,2
708635058,53,1,1,3,0,1,24050.0,0,0,0,0,0,1,0,3,1,2,413.1,0
708637758,49,1,1,2,0,0,0.0,0,0,0,1,1,1,0,0,0,0,439.2,0
708642708,40,1,2,4,2,0,0.0,1,298000,1,1,0,1,0,3,1,0,318.4,4
708644208,39,1,1,2,0,1,64190.0,0,0,0,0,0,1,1,2,0,3,442.8,1
708646233,44,1,3,1,1,0,0.0,1,363000,0,1,1,1,1,1,1,1,372.0,3
708649683,51,0,1,3,0,1,122780.0,1,1547000,1,1,1,1,1,0,0,3,774.0,4
708651933,56,0,2,2,2,1,100820.0,1,231000,1,0,0,1,0,1,2,2,372.0,4
708652908,47,1,2,4,5,1,23130.0,1,450000,0,2,0,1,1,1,0,0,639.0,3
708653958,38,0,2,1,3,1,89510.0,0,0,0,1,1,1,0,2,3,3,360.0,2
708654933,51,1,2,1,2,1,19430.0,1,202000,1,1,1,4,0,1,3,2,493.0,4
708655983,49,1,3,3,3,0,0.0,1,285000,1,1,0,1,0,2,3,3,299.2,4
708657033,60,1,1,1,0,1,23780.0,0,0,0,1,0,1,0,3,1,3,531.0,0
708660408,40,1,2,1,1,1,62940.0,0,0,0,0,0,1,0,0,3,3,381.0,0
708662583,41,0,2,3,3,1,103350.0,1,835000,1,0,0,2,0,2,0,2,725.0,4
708664008,57,0,2,1,3,1,134300.0,0,0,0,0,0,1,1,2,2,2,532.0,1
708665133,40,0,2,2,2,1,122440.0,0,0,0,1,1,1,0,2,2,0,411.0,2
708666258,43,0,2,1,4,1,61300.0,0,0,0,1,0,1,1,1,2,1,353.0,1
708668283,39,0,2,2,2,1,117790.0,0,0,0,2,0,1,0,2,3,1,354.0,2
708669408,54,0,1,1,2,1,104990.0,0,0,0,0,0,1,1,0,3,3,547.2,1
708670608,48,1,2,4,5,0,0.0,0,0,0,1,1,1,1,3,0,1,425.6,3
708671733,48,0,2,2,4,1,99650.0,1,409000,0,1,1,1,0,2,0,3,505.0,2
708672708,49,0,0,3,4,1,133660.0,1,399000,1,1,1,1,0,2,2,1,680.0,4
708679383,44,1,0,1,2,1,17870.0,0,0,0,0,0,1,1,1,0,0,331.0,1
708680583,53,1,2,2,1,1,72920.0,0,0,0,0,0,1,0,3,1,3,398.0,0
708681708,51,1,1,1,0,1,19110.0,0,0,0,1,0,1,1,1,1,2,359.1,1
708682908,43,1,1,1,1,0,0.0,1,864000,1,0,0,1,1,3,2,2,357.12,4
708684108,46,1,2,2,4,1,65030.0,0,0,0,1,1,1,0,3,3,1,343.0,0
708687483,54,1,1,2,1,1,19060.0,0,0,0,0,0,2,0,1,1,1,360.0,0
708688608,62,1,2,3,1,1,20030.0,0,0,0,1,0,1,1,1,2,0,428.0,1
708689958,48,1,0,2,4,1,71190.0,0,0,0,1,1,1,0,0,2,1,539.0,0
708692583,44,1,1,3,0,1,18700.0,0,0,0,1,0,1,1,1,1,0,340.2,1
708693558,50,1,1,3,0,1,28050.0,0,0,0,0,0,2,0,0,1,1,571.5,0
708694983,55,1,0,4,1,1,41760.0,1,1475000,1,1,1,1,1,1,1,3,673.0,4
708697983,56,0,0,3,0,1,216930.0,1,877000,1,1,0,1,0,1,3,3,799.0,4
708699108,39,1,1,3,0,1,22010.0,0,0,0,1,0,1,0,1,0,3,426.6,0
708701358,39,1,1,4,0,1,20700.0,0,0,0,0,0,1,0,2,1,0,428.4,0
708702258,40,1,1,4,0,0,0.0,0,0,0,0,0,1,1,2,3,0,234.0,3
708703308,35,1,2,1,1,1,60450.0,0,0,0,2,0,1,0,2,2,0,406.0,0
